scaleByStrain, strain percent, trial, regularization, mean axial strain, axial strain std, axial strain SNRe, mean lateral strain, lateral strain std, lateral strain SNRe
false, 0.5, 10, no_regularization, -0.00615272143196, 0.00106261369435, 5.79017705557, 0.00316261388626, 0.00512034100734, 0.617656886861
false, 0.5, 6, regularization, -0.00633007800861, 0.00127336754487, 4.97113188891, 0.00282498702897, 0.00226411072891, 1.2477247658
false, 0.5, 7, regularization, -0.00617186787, 0.0014056550882, 4.39074131471, 0.00266812360809, 0.0026753159491, 0.99731159192
false, 0.5, 8, regularization, -0.00629375606244, 0.00131252912572, 4.79513630526, 0.00312705334337, 0.00216328867844, 1.44550904118
false, 0.5, 9, regularization, -0.00603296274365, 0.00143466018224, 4.20515103042, 0.00272081350651, 0.00235942532442, 1.15316788302
false, 0.5, 10, regularization, -0.00615720633965, 0.00146278653986, 4.2092309246, 0.00300617907446, 0.00250065963301, 1.20215443748
true, 11.0, 6, no_regularization, 0.0602876972859, 0.361175897608, 0.166920599312, -0.140846952418, 0.72855202104, 0.193324496192
true, 11.0, 7, no_regularization, -0.0560083886953, 0.52903099131, 0.105869768719, -0.00938005834655, 0.561354438414, 0.0167096894665
true, 11.0, 8, no_regularization, -0.0276221644516, 0.37813990425, 0.0730474730151, -0.0742919287012, 0.694260660941, 0.107008696994
true, 11.0, 9, no_regularization, 0.0505907894218, 0.455489362, 0.111069091053, -0.0726659954587, 0.62944916012, 0.115443788097
true, 11.0, 10, no_regularization, 0.011761880747, 0.423830224917, 0.0277513967989, -0.135025534204, 0.825808828535, 0.163507012203
true, 11.0, 6, regularization, -0.0100523319203, 0.240903458466, 0.0417276363912, 0.00934684403489, 0.365189299318, 0.025594517836
true, 11.0, 7, regularization, 0.0180270298771, 0.254678711649, 0.0707834186861, -0.0146061497299, 0.343329611576, 0.0425426448446
true, 11.0, 8, regularization, 0.00979997994908, 0.291888192192, 0.0335744309336, -0.0963618703108, 0.45634400608, 0.211160591631
true, 11.0, 9, regularization, 0.0186127263436, 0.350262413993, 0.0531393766503, -0.113143332863, 0.776513658556, 0.145706816121
true, 11.0, 10, regularization, -0.0166845990496, 0.247330073048, 0.067458836865, 0.0373566729623, 0.351388698353, 0.106311538013
false, 5.0, 6, no_regularization, -0.0354916603279, 0.166210143721, 0.213534863357, 0.00735781507054, 0.203330725264, 0.0361864399047
false, 5.0, 7, no_regularization, -0.057859585647, 0.0943200863229, 0.613438641785, 0.00571415305284, 0.121113578316, 0.0471801191269
false, 5.0, 8, no_regularization, -0.0630166493578, 0.158670703413, 0.397153652202, 0.0156004920635, 0.153407633416, 0.101693062569
false, 5.0, 9, no_regularization, -0.0578309554554, 0.0400468921672, 1.44408098421, 0.0175758642503, 0.0796709855033, 0.220605583567
false, 5.0, 10, no_regularization, -0.0581134192815, 0.13776547776, 0.421828604862, 0.0155106193529, 0.155265492685, 0.0998974020862
false, 5.0, 6, regularization, -0.0312248525893, 0.126293122802, 0.247241115719, 0.0151097786372, 0.149122848548, 0.101324369701
false, 5.0, 7, regularization, -0.0610746893852, 0.0549830836688, 1.11079054338, 0.0288876261498, 0.0786880105729, 0.367115980432
false, 5.0, 8, regularization, -0.063811057463, 0.101083514711, 0.63127066412, 0.0285562132412, 0.0993466949883, 0.287439992287
false, 5.0, 9, regularization, -0.0567738383558, 0.00756493987143, 7.5048631345, 0.0290495612719, 0.00716057965152, 4.05687286304
false, 5.0, 10, regularization, -0.0522624794456, 0.112117396167, 0.466140681397, 0.0147809153512, 0.137750790416, 0.107301855086
false, 1.0, 6, no_regularization, -0.0125138304323, 0.00116549183772, 10.7369524412, 0.00613437505116, 0.00709138951384, 0.865045565355
false, 1.0, 7, no_regularization, -0.012313307854, 0.00148609475111, 8.2856815454, -0.00199943516891, 0.0541477877214, 0.0369255190849
false, 1.0, 8, no_regularization, -0.0120857132049, 0.00141154022409, 8.56207495797, 0.00568334608317, 0.00622135886501, 0.91352166086
false, 1.0, 9, no_regularization, -0.0119216400897, 0.0011193361743, 10.6506341557, 0.00604731755107, 0.00517206481247, 1.16922694714
false, 1.0, 10, no_regularization, -0.0120691621726, 0.00170989873259, 7.0584075785, 0.00621216541291, 0.00714835577136, 0.869034168361
false, 1.0, 6, regularization, -0.0124729569762, 0.00116404150245, 10.7152167254, 0.00571377228833, 0.00297021273102, 1.92369126583
false, 1.0, 7, regularization, -0.0123174594561, 0.00135721409186, 9.07554639317, 0.00591506666467, 0.00264924691469, 2.23273513385
false, 1.0, 8, regularization, -0.0120736642398, 0.00134295570589, 8.99036668656, 0.0055103890237, 0.00279366808183, 1.97245659194
false, 1.0, 9, regularization, -0.011945966169, 0.00118107310205, 10.114501929, 0.0059114063291, 0.00202881748269, 2.91372012492
false, 1.0, 10, regularization, -0.0120851415076, 0.0015016188928, 8.04807502458, 0.0057300893369, 0.00271936242159, 2.10714441422
true, 1.0, 6, no_regularization, -0.012521502467, 0.000795650406442, 15.7374424315, 0.00630712191465, 0.00653976075193, 0.964427011002
